Tweets,Date
"#POWERALERT 1
Date: 28 November 2019

No loadshedding expected today, despite a constrained and vulnerable system https://t.co/Y0HtjQk2vI",2019-11-28 05:48:58
@Pj_MOSES @CityPowerJhb @PJ_Moses Eskom is working on the fault affecting Parkmore. We still don't have an ETR at t… https://t.co/9lbI0mIFHy,2019-11-27 17:22:53
"RT @Exposcience: Eskom Expo for Young Scientists in Gauteng hosts a science camp at Jiyana Secondary School in Tembisa today, and will move…",2019-11-27 16:11:03
How to contact #Eskom for service: https://t.co/rqEWV3k7OC https://t.co/oQHyIUgyca,2019-11-27 16:10:14
Eskom wishes to warn the public about recruitment scams. Eskom vacancies are advertised on our website… https://t.co/AEyyNYzKKm,2019-11-27 14:18:21
"@SAWeatherServic has issued advisory alerts for a heatwave with persistently high temperatures expected in Limpopo,… https://t.co/SDJbraHTo8",2019-11-27 11:53:05
"#EskomGauteng: Rivonia outage

Customers in Kudu Crescent and Eland Crescent are currently experiencing a power sup… https://t.co/Vn8EY2PAvU",2019-11-27 09:16:47
"@plussizewomenSA @JacksonMthembu_ @lelo_taka Good day, pls send us a reference number so that we can follow up.  If… https://t.co/t35lNfTyHE",2019-11-27 09:04:44
RT @Exposcience: #WednesdayWisdom #EskomExpoISF Joshua Sylvain de Miranda from Tyger Valley College represented SA at #OKSEF in Turkey in J…,2019-11-27 09:02:22
@No_H_in_Ismail Your query has been escalated to CS.,2019-11-27 09:01:36
Do not interfere with or vandalise Eskom property. Report vandalism to Eskom on 08600 37566 (ESKOM) or @CrimeLineZA… https://t.co/ISVH53Vld6,2019-11-27 08:59:45
Here are some tips on how to save electricity (and costs) during summer https://t.co/A8z6qrxqtm,2019-11-27 07:20:45
"#EskomGauteng #PowerOutage  Sandton area

Eskom customers in Sandown and  surrounding areas are experiencing a powe… https://t.co/HDQgMosM7i",2019-11-27 06:49:21
"#PowerAlert 1

Date: 27 November 2019

No loadshedding expected today, despite a constrained and vulnerable system… https://t.co/wComZnYNsM",2019-11-27 06:41:21
#UseElectricitySmartly and lighten the load in your living rooms and bedrooms with these energy efficiency tips 👇🏽👇🏽 https://t.co/84NQolQNnD,2019-11-26 16:08:19
@ElaineJack888 Call escalated to Customer Services,2019-11-26 16:04:51
@Sandton_News @CityPowerJhb @SAPoliceService We can confirm that a man was electrocuted while allegedly tampering w… https://t.co/iRD60N91gZ,2019-11-26 15:51:10
"#ChooseDay 

#SkaBaiza, say NO to unsafe electrical practices. https://t.co/RoMRVnwBb4",2019-11-26 14:08:36
"#Eskom_MediaStatement : Eskom Medupi Unit 2 achieves commercial operation.

@IOL @ewnupdates @SAfmnews @SowetanLIVE… https://t.co/5JOJdlkCYS",2019-11-26 12:09:47
President @CyrilRamaphosa signs the certificate for the Commercialization of Unit 2 of Medupi Power Plant. https://t.co/eEnvpnvCpF,2019-11-26 11:37:12
"#EskomNorthWest to conduct an interactive presentation on ""How to do business with Eskom"". See below invitation 👇👇👇 https://t.co/UKfwi1dykz",2019-11-26 10:15:27
@mashiyanef Thanks.,2019-11-26 09:34:06
RT @GwedeMantashe1: Viva to the workers at the Medupi Power Station. #InvestinSAEnergy #Khawuleza @Eskom_SA https://t.co/WhRoX74e9r,2019-11-26 09:16:20
"RT @GwedeMantashe1: ""Coal will continue playing a critical role in Energy generation for our country. SA has enough coal for years to come.…",2019-11-26 09:15:34
"RT @SAgovnews: He announces that #MedupiPowerPlant’s Unit 2 has this morning been commissioned. Unit 1, he adds, will be commissioned early…",2019-11-26 09:15:18
"@mashiyanef Hi, please forward us your reference number and we will follow-up.",2019-11-26 08:57:14
"RT @SAgovnews: He says it is great to see that there are many women workers at the plant. He says they are not just workers, but are also i…",2019-11-26 08:50:59
"RT @SAgovnews: I want to repeat: we are not privatizing @Eskom_SA, we’ll just make it operate better so it can be in line with times and co…",2019-11-26 08:47:39
"RT @SAgovnews: The President begins his address by honouring the workers at the plant, he says their contribution is recognized. “You have…",2019-11-26 08:46:07
"RT @GwedeMantashe1: ""We are not going to privatise @Eskom_SA. We are not going to sell Eskom. Eskom will continue being owned by our govern…",2019-11-26 08:44:43
RT @GCISMedia: #Khawuleza President Ramaphosa: Eskom is too important to the life of our country.@GovernmentZA @SAgovnews @LimpopoGcis,2019-11-26 08:43:37
RT @GCISMedia: #Khawuleza President Ramaphosa: Government will continue to support Eskom. @GovernmentZA gov @SAgovnews @LimpopoGcis,2019-11-26 08:43:37
"RT @SAgovnews: “We are not going to privatize Eskom. We are not going to sell Eskom. It’s like selling your family, we are not going to do…",2019-11-26 08:43:37
RT @SAgovnews: President @CyrilRamaphosa has arrived at the venue. He is accompanied by @DPE_ZA Minister Pravin Gordhan and @Eskom_SA Chair…,2019-11-26 08:38:37
President @CyrilRamaphosa addressing Medupi Power Station employees https://t.co/YkqmzEzVpz,2019-11-26 08:35:09
RT @CyrilRamaphosa: Visit to Medupi Power Station #Eskom  https://t.co/R2DPMRqdtD,2019-11-26 08:34:20
RT @GCISMedia: Thousands of Medupi employees gathered at Medupi power station where President Cyril Ramaphosa will address them.#Khawuleza…,2019-11-26 08:33:56
RT @JacksonMthembu_: This morning we visited Eskom’s Medupi Power Station in Lephalale with President Ramaphosa &amp; Minister of Public Enterp…,2019-11-26 08:33:38
RT @GCISMedia: President Cyril Ramaphosa is addressing members of the media at the handover (commercial operation) of unit 2 at Medupi powe…,2019-11-26 08:14:06
RT @CyrilRamaphosa: Visit to Medupi Power Station #Khawuleza  https://t.co/nwi0KIKTSK,2019-11-26 08:04:12
"RT @GovernmentZA: President Cyril Ramaphosa received by Minister of Public Enterprises,  Pravin Gordhan, Limpopo Premier  Stanley Mathabath…",2019-11-26 07:59:15
RT @GCISMedia: President Cyril Ramaphosa arrived at Medupi power station for the tour ahead of the launch of District Development Model #Kh…,2019-11-26 07:50:09
"RT @GCISMedia: #Khawuleza President Ramaphosa will also today, 26 November 2019 visit the Eskom’s Medupi Power Station where he will receiv…",2019-11-26 07:09:45
RT @SAgovnews: President @CyrilRamaphosa is this morning at Eskom’s flagship Medupi power station. He will tour the plant and later address…,2019-11-26 07:09:26
RT @MikeMaringa: President Ramaphosa will this morning go on a site inspection at the Medupi Power station and later address workers. #SABC…,2019-11-26 06:50:49
"#PowerAlert 1

Date: 26 November 2019

No loadshedding expected today, despite a constrained and vulnerable system… https://t.co/ZwCoPR7Q8b",2019-11-26 06:42:54
"#EskomKZN GM, Agnes Mlambo (top left) urged contractors to work safely and ethically during the annual Contractors… https://t.co/h14fJ6GQpC",2019-11-25 16:59:10
Eskom customers are requested to log a service request call on MyEskom Customer App https://t.co/99xBTCodMz  . The… https://t.co/804JKColpR,2019-11-25 16:21:44
"#InTheNews : Three caught trying to steal copper cables https://t.co/eA08tSLUkC by Roodepoort Record

Report cable… https://t.co/tnp7ORapw8",2019-11-25 14:56:06
"#EskomEasternCape #MediaStatement

Update: Interruption of bulk electricity supply to Enoch Mgijima Local Municipal… https://t.co/3pzUZ4pNsx",2019-11-25 13:45:23
"RT @ukinsouthafrica: Today we’re visiting Sere Wind farm, @Eskom_SA large-scale #Renewable energy project &amp; first planned site for  @Eskom_…",2019-11-25 13:13:25
#ESKOMFREESTATE #MEDIASTATEMENT : ESKOM SERVES NOTICE TO STOP PROVISION OF ELECTRICITY SUPPLY SERVICES https://t.co/i2U2k87sUV,2019-11-25 13:11:20
Illegal connections are a major issue. #Eskom + municipalities remove illegal connections daily but they are reconn… https://t.co/W7dwcFkxgP,2019-11-25 12:41:49
#ESKOMNORTHWEST #MEDIASTATEMENT : NOTICE OF SUPPLY INTERRUPTION IN LICHTENBURG AREA https://t.co/7HfWVxLliT,2019-11-25 12:21:21
Building under Eskom power lines poses a serious danger to the members of the community and is not permitted as hig… https://t.co/MhKpi7lsKr,2019-11-25 10:41:06
#EskomEasternCape Provincial management is meeting with Contractors regarding issues that can assist in achieving i… https://t.co/5PpLVxbRyL,2019-11-25 09:02:46
@Lacoste82554919 Please report your issue to our Customer Services Centre via one of the following channels 0860037… https://t.co/BXKkMr96kO,2019-11-25 07:46:15
@tsekiBL Please report your issue to our Customer Services Centre via one of the following channels 0860037566 / SM… https://t.co/3vILkIp6bJ,2019-11-25 07:35:59
@shaun_crisp Please call your service provider if experiencing a power failure. If serviced by #Eskom call 08600375… https://t.co/IWCF6cIXdZ,2019-11-25 07:35:28
@Candi_man @Miziegee @CityPowerJhb Please call your service provider if experiencing a power failure. If serviced b… https://t.co/7w1PUzGKL7,2019-11-25 07:34:46
@Miziegee Please call your service provider if experiencing a power failure. If serviced by #Eskom call 0860037566… https://t.co/K4iQTO92t2,2019-11-25 07:34:03
RT @Exposcience: #MondayMotivation Shaylyn Dippen from Newcastle High School has been awarded a bursary from @Eskom_SA at #EskomExpoISF. Th…,2019-11-25 07:33:28
"RT @Exposcience: #MondayMotivation For their #EskomExpoISF project, Mbavhalelo Sidimela &amp; Shifa Ismail from Mbilwi Secondary aimed to assis…",2019-11-25 07:03:56
@Miziegee @CityPowerJhb please assist.,2019-11-25 07:03:17
What to do &amp; what to look for when experiencing a power failure. Details: https://t.co/mAanpAEN8S,2019-11-25 07:02:18
"#POWERALERT 1
Date: 25 November 2019

No loadshedding expected today, despite a constrained and vulnerable system https://t.co/5ljKHQVDd4",2019-11-25 06:39:31
Overloading plugs can lead to overheating and fires. Last year we lost 117 lives to unsafe electricity use.… https://t.co/cF5veipKQ5,2019-11-24 16:05:03
"It is a criminal offence to break or  steal covers of meter boxes, sub-stations or other Eskom property.  Making co… https://t.co/osxQA34tiq",2019-11-24 13:42:14
@dalungstar @CityofJoburgZA Please report to Customer Services on 08600 37566,2019-11-24 13:08:48
@PelisaS Please report to Customer Services  on 08600 37566,2019-11-24 12:25:03
Watch and Share: Understanding your #ElectricityCosts https://t.co/9jbAqZ2yOg by @mayaonmoney #moneymatters,2019-11-24 10:45:04
@2114f0aa68fb435 @CityofJoburgZA @CityPowerJhb Please report to Customer Services on 08600 37566,2019-11-24 07:27:31
@d4zza No this is only for direct Eskom customers,2019-11-24 06:58:11
"Register on our Eskom web Site or on our Mobile MyEskom Customer App (Available in the IOS, Windows and Android App… https://t.co/UBENddpOVn",2019-11-24 06:41:21
RT @CityPowerJhb: REMINDER: Please be reminded of a planned outage in Hillbrow that will be implemented today at 8:00^BP https://t.co/MrCDW…,2019-11-24 06:24:30
"RT @CityPowerJhb: UPDATE: Distributor supplying  Discovery ,Georgina, Creswell Park, Rand Leases, Hamberg and Florida Lake tripped. Technic…",2019-11-24 06:24:21
"#POWERALERT 1
Date: 24 November 2019

No loadshedding expected today, despite a constrained and vulnerable system https://t.co/NwMbqLScFq",2019-11-24 06:05:26
@didintle_mmokwa @KholiweMotlham1 Have you reported to Customer Services? Do you have a reference number?,2019-11-24 06:03:23
@WordsAlchemy Please report to Customer Services on 08600 37566,2019-11-24 05:51:31
@moitdheki Please report to Customer Services on 08600 37566,2019-11-24 05:51:06
What to do &amp; what to look for when experiencing power failure. Details: https://t.co/mAanpAEN8S,2019-11-23 16:13:28
@MiaPaulaRussell Your query has been escalated to Customer Services,2019-11-23 14:23:01
DYK that you can report #poweroutages and meter error codes on MyEskom Customer App https://t.co/99xBTCodMz  ? The… https://t.co/KnpeOA1oLQ,2019-11-23 13:39:47
#ElectricitySafety: Planning on doing some DIY around the house this weekend?? Check out these handy tips from… https://t.co/IajUGp8kAe,2019-11-23 10:32:12
"@LebohangKP @CityPowerJhb Was this reported to Eskom? If not, pls call 0860037566",2019-11-23 09:53:06
RT @Exposcience: #EskomExpoISF Fatima Kaka from Kismet Combined’s “Magnetic Turbulence” project was successful in generating electrical ene…,2019-11-23 09:36:21
@Phezi_Mimi Pls forward us your reference number and we will follow-up,2019-11-23 08:56:09
"#POWER ALERT 1

Date: 23 November 2019

No loadshedding expected today, despite a constrained and vulnerable system… https://t.co/ZVx80qRENy",2019-11-23 07:49:16
@Daniel_P_Carey Pls DM your query and contact details.,2019-11-23 06:39:14
Eskom prepaid customers are requested to direct all prepaid queries including meter error codes and faults to Custo… https://t.co/jO9Il3OYxi,2019-11-23 06:38:22
@Daniel_P_Carey Pls use  MyEskom Customer App https://t.co/99xBTCodMz  to log a call. The system will provide you w… https://t.co/BYZr1FYWkc,2019-11-23 06:14:31
@Brucee_011 DYK that you can report #poweroutages on MyEskom Customer App https://t.co/99xBTCodMz  ? The system wil… https://t.co/8s5VzalShm,2019-11-23 06:13:55
@CliffShiko DYK that you can report #poweroutages on MyEskom Customer App https://t.co/99xBTCodMz  ? The system wil… https://t.co/3Jexj914HT,2019-11-23 06:13:40
@Dwe_Zulu @denny49020249 @CityofJoburgZA Eskom is aware that some  customers from Kyalami are affected by a cable f… https://t.co/id4Z4W1Js4,2019-11-23 06:12:34
"@StoneCJenny It will be attended today, customer reported at 20h57 last night, calls logged after 8pm are generally… https://t.co/Y2x9PKHiSy",2019-11-23 06:07:56
@sw0702 Ext?,2019-11-23 05:39:43
@Daniel_P_Carey Lines are working just fine. How can we help you?,2019-11-23 05:37:01
"@CliffShiko Hi, did you log a call? If so, please forward us your reference number and we will follow-up",2019-11-23 05:33:26
"@Kgothatso Hi, pls call 0860037566 to log a call.",2019-11-23 05:32:10
@RutterGrant No eta as yet,2019-11-22 17:01:16
@RutterGrant Barbeque downs has a cable fault which has 3 feeders off. Technicians are still on site trying to fix the fault.,2019-11-22 16:28:25
@Jaxskaapie @ewnreporter @ewnupdates Barbeque downs has a cable fault which has 3 feeders off. Technicians are stil… https://t.co/NpbtYhfTZ2,2019-11-22 16:27:20
@KershenReddy @Jaxskaapie @ewnreporter @ewnupdates Will enquire from Customer Services,2019-11-22 16:09:40
Prepaid pricing is based on usage/ consumption rate. number to 35328 for assistance. For comprehensive information… https://t.co/2bUgrMnd9q,2019-11-22 16:07:23
@lorelailette Is the area supplied by Eskom or @City_Ekurhuleni ?,2019-11-22 15:59:52
@RutterGrant Is your power still off?,2019-11-22 15:59:10
@Jaxskaapie @ewnreporter @ewnupdates Is the power still off?,2019-11-22 15:58:46
@jabzero51 @MorningLiveSABC @SABCNewsOnline @SakinaKamwendo @AdvovoJr Thank you for the alert.  Relevant authorities have been informed,2019-11-22 15:57:47
@MpholoTeboho Report your power outage to Customer Services on 08600 37566,2019-11-22 14:20:45
"Before leaving the office this afternoon,  heading off into the weekend, remember to switch off lights &amp; electrical… https://t.co/AOsHfDIiLC",2019-11-22 14:19:37
Here is a simple explanation to help you understand Eskom’s prepaid tariff structure for residential customers. Mun… https://t.co/pEDA6qy3xW,2019-11-22 12:18:08
Cable theft is one of the main reasons for constant power outages. Report cable theft to @CrimeLineZA… https://t.co/Oo0BBBXg2V,2019-11-22 10:47:50
"@brox209 You need to enquire with them, as Eskom is not loadshedding",2019-11-22 10:07:53
"RT @CityPowerJhb: #Update Beyers Naude Gayfield distributor tripped affecting power supply in Randparkrif extensions and surroundings, oper…",2019-11-22 10:07:01
#EskomLimpopo Customers in the Burgersfort area are experiencing electricity supply interruptions due to a fault at… https://t.co/AScFWes0X6,2019-11-22 09:53:52
"@Oratile_Tshelo @CityTshwane @EFFSouthAfrica @TshwaneEff Good day, pls send us a reference number so that we can fo… https://t.co/WfAMk4ZmJr",2019-11-22 09:10:24
RT @Exposcience: #FridayFeeling #EskomExpoISF Vuyo Nzimande from Mangaung Intermediate School in Qwaqwa incorporated the cultural aspects o…,2019-11-22 09:08:33
Exposed electric wires is a number one cause of electrical fire hazards. The voltage that runs through homes is hig… https://t.co/WaqvtphDYz,2019-11-22 08:38:04
"@Cgebs1Colinda Hi Colinda, please confirm area and province.",2019-11-22 08:08:17
#Eskom_NorthWest Rustenburg Sector Update https://t.co/qAsbPvMuFh,2019-11-22 07:47:42
"@miss_moss Hi, please call the call centre on 0860037566",2019-11-22 07:15:34
@jabzero51 @MorningLiveSABC @SABCNewsOnline @SakinaKamwendo Thank you for the alert. Please report to Eskom crime l… https://t.co/50UcirMl0D,2019-11-22 07:14:29
"#POWERALERT 1
Date: 22 November 2019

No loadshedding expected today, despite a constrained and vulnerable system https://t.co/pL3qkdRkV5",2019-11-22 07:01:36
"To register a pre-paid meter, visit an Eskom office with the ID number of the person in whose name the meter is to… https://t.co/ndhdlyeNm5",2019-11-22 06:58:37
Please call your service provider if experiencing a power failure. If serviced by Eskom call 0860037566 / SMS 35328… https://t.co/qjh8HrNVmE,2019-11-21 16:24:48
@mzwandileMasina https://t.co/Ek3kt248K5,2019-11-21 14:40:04
#DYK that it can be easy for households to save electricity (and costs) during summer as well as minimize the risk… https://t.co/gQry6bgILp,2019-11-21 14:38:28
"#EskomLimpopo #MediaStatement

ALLDAYS ELECTRICITY SUPPLY OUTAGE https://t.co/eHkB3KMUdQ",2019-11-21 13:09:05
#EskomGauteng partnered with the Sedibeng Disaster Management department and @Rand_Water  to create safety awarenes… https://t.co/1giA1lGJbT,2019-11-21 12:48:00
Re-purposing of appliances is when an appliance that is meant for one use is changed to perform an alternative task… https://t.co/aH1Zqe1ARQ,2019-11-21 11:14:31
@moiponemoabi Please report to Customer Services on 08600 37566,2019-11-21 08:41:09
"#SkaBaiza. Low hanging and fallen cables can be live and dangerous. Never touch or move them!

Report these to Esko… https://t.co/91kKFvAfuw",2019-11-21 08:39:28
@evxd Please note that this notice is legit and has been served on the municipality,2019-11-21 07:33:46
Being #energyefficient in the office is simple with these easy tips. #UseElectricitySmartly and minimise the risk o… https://t.co/3hvScTcpvV,2019-11-21 06:32:22
"#POWERALERT 1
Date: 21 November 2019

No loadshedding expected today, despite a constrained and vulnerable system https://t.co/XgwdUh3ivD",2019-11-21 06:02:15
"RT @CityPowerJhb: UPDATE: Beyers Naude Prince distributor tripped, Causing a total loss of supply in Windsor,Windsor West &amp; surrounds.  Tec…",2019-11-20 18:05:14
"RT @CityPowerJhb: #update: Distributor supplying Alexandra Ext.5,Far East Bank Ext.1 and Marlboro is tripped.Technical team on route we apo…",2019-11-20 18:04:30
RT @CityPowerJhb: #UPDATE JG Strydom distributor is tripped causing total loss of power in weltevredenpark ext and surrounding.Technicians…,2019-11-20 18:04:15
Have you tried the ‘MyEskom Customer App’ https://t.co/k5uCB1kg9i? Convenience at your fingertips to report power o… https://t.co/sPkv6neuvV,2019-11-20 16:37:49
"#EskomNorthernCape  Contractor Forum

Reiteration of Safety and Compliance messaging and reflecting on the past yea… https://t.co/BAmRYkzviX",2019-11-20 15:28:02
@Marumofase77 @SABCNewsOnline @IOL @eNCA @ewnupdates @TheCitizen_News @News24 @SAgovnews @AfricaNews24_7 Yes the nu… https://t.co/MoN2rAK4QG,2019-11-20 14:53:56
#EskomKZN hosted an information sharing session with KZN Top Customers. It was an opportunity to engage meaningfull… https://t.co/EGjrQa7GFM,2019-11-20 14:49:40
"When you are at home, you spend most of your time in your living areas and bedrooms. Many ‘switch off ’ habits and… https://t.co/kmFCYbTsgI",2019-11-20 14:28:12
#ICYMI FAKE NEWS ALERT https://t.co/puFHTfLOEJ,2019-11-20 14:17:59
RT @Exposcience: Why waste water? Tshepang Hlalele &amp; Mbali Masoka from Leseding Technical Secondary School investigated the amount of water…,2019-11-20 14:01:55
#EskomLimpopo :  Customers in  Mantsole area are experiencing electricity supply interruptions due to a fault on th… https://t.co/UEVSFPYizo,2019-11-20 13:57:02
"RT @CityPowerJhb: UPDATE: RegionF
#HuddonPlannedOutage Please take note of planned power interruption on Friday 22 Nov 2019 from 08h00 unti…",2019-11-20 13:26:30
#PublicSafety: Make sure that you and your family know how to work with electricity safely at home… https://t.co/adNN5us9Kn,2019-11-20 12:19:17
Eskom's Visitors Centres’ facilities include interactive models on electricity generation. Presentations are tailor… https://t.co/iwx5jhUBQP,2019-11-20 10:29:07
"#Eskom connected 400 houses and in the process of connecting 1700 more.

#Eskom #PoweringYourWorld

@David_Makhura… https://t.co/RC9lT6okF8",2019-11-20 10:25:20
@ArthurGodbeer Is the power restored as yet?,2019-11-20 10:07:59
@MuthambiPaulina @SABCNewsOnline @IOL @eNCA @ewnupdates @TheCitizen_News @News24 @SAgovnews @AfricaNews24_7 Is the power restored as yet?,2019-11-20 10:07:41
RT @GP_DHS: The @GautengProvince made a commitment to electrify the area in order to avoid any harm that could be caused by illegal connect…,2019-11-20 10:00:09
