ID,Marital-Status
967,Divorced
968,Married
969,Divorced
970,Confidential
971,Married
972,Confidential
973,Single
974,Divorced
975,Married
976,Married
977,Confidential
978,Divorced
979,Single
980,Divorced
981,Confidential
982,Confidential
983,Married
984,Divorced
985,Confidential
986,Confidential
987,Divorced
988,Single
989,Single
990,Confidential
991,Single
992,Single
993,Single
994,Confidential
995,Single
996,Confidential
997,Single
998,Divorced
999,Married
1000,Married
1001,Divorced
1002,Single
1003,Divorced
1004,Divorced
1005,Single
1006,Divorced
1007,Single
1008,Confidential
1009,Single
1010,Single
1011,Divorced
1012,Married
1013,Divorced
1014,Single
1015,Divorced
1016,Single
1017,Married
1018,Confidential
1019,Confidential
1020,Married
1021,Confidential
1022,Divorced
1023,Divorced
1024,Confidential
1025,Divorced
1026,Single
1027,Divorced
1028,Divorced
1029,Confidential
1030,Divorced
1031,Married
1032,Married
1033,Divorced
1034,Confidential
1035,Divorced
1036,Married
1037,Single
1038,Confidential
1039,Married
1040,Confidential
1041,Confidential
1042,Married
1043,Single
1044,Divorced
1045,Confidential
1046,Divorced
1047,Divorced
1048,Single
1049,Confidential
1050,Single
1051,Confidential
1052,Married
1053,Confidential
1054,Divorced
1055,Single
1056,Single
1057,Confidential
1058,Married
1059,Confidential
1060,Divorced
1061,Single
1062,Confidential
1063,Single
1064,Confidential
1065,Single
1066,Single
1067,Confidential
1068,Single
1069,Married
1070,Divorced
1071,Married
1072,Married
1073,Divorced
1074,Divorced
1075,Single
1076,Confidential
1077,Married
1078,Confidential
1079,Divorced
1080,Married
1081,Married
1082,Divorced
1083,Confidential
1084,Divorced
1085,Single
1086,Divorced
1087,Confidential
1088,Single
1089,Married
1090,Single
1091,Married
1092,Single
1093,Divorced
1094,Single
1095,Married
1096,Married
1097,Single
1098,Single
1099,Confidential
1100,Divorced
1101,Married
1102,Confidential
1103,Single
1104,Single
1105,Single
1106,Married
1107,Single
1108,Single
1109,Divorced
1110,Single
1111,Divorced
1112,Divorced
1113,Married
1114,Confidential
1115,Confidential
1116,Confidential
1117,Confidential
1118,Married
1119,Married
1120,Confidential
1121,Single
1122,Divorced
1123,Divorced
1124,Married
1125,Single
1126,Single
1127,Married
1128,Confidential
1129,Confidential
1130,Confidential
1131,Confidential
1132,Confidential
1133,Divorced
1134,Single
1135,Divorced
1136,Single
1137,Single
1138,Confidential
1139,Married
1140,Confidential
1141,Divorced
1142,Divorced
1143,Confidential
1144,Single
1145,Married
1146,Married
1147,Single
1148,Single
1149,Single
1150,Divorced
1151,Single
1152,Confidential
1153,Single
1154,Divorced
1155,Divorced
1156,Divorced
1157,Divorced
1158,Married
1159,Divorced
1160,Divorced
1161,Confidential
1162,Confidential
1163,Single
1164,Confidential
1165,Confidential
1166,Confidential
1167,Confidential
1168,Married
1169,Married
1170,Confidential
1171,Divorced
1172,Divorced
1173,Confidential
1174,Divorced
1175,Single
1176,Divorced
1177,Divorced
1178,Divorced
1179,Single
1180,Married
1181,Married
1182,Confidential
1183,Divorced
1184,Confidential
1185,Divorced
1186,Single
1187,Single
1188,Married
1189,Confidential
1190,Divorced
1191,Single
1192,Married
1193,Single
1194,Divorced
1195,Divorced
1196,Divorced
1197,Married
1198,Divorced
1199,Confidential
1200,Divorced
1201,Divorced
1202,Single
1203,Divorced
1204,Single
1205,Confidential
1206,Confidential
1207,Divorced
1208,Confidential
1209,Married
1210,Single
1211,Confidential
1212,Divorced
1213,Confidential
1214,Single
1215,Married
1216,Married
1217,Married
1218,Married
1219,Single
1220,Married
1221,Divorced
1222,Single
1223,Married
1224,Confidential
1225,Confidential
1226,Divorced
1227,Married
1228,Married
1229,Married
1230,Married
1231,Divorced
1232,Married
1233,Married
1234,Married
1235,Divorced
1236,Single
1237,Confidential
1238,Married
1239,Divorced
1240,Single
1241,Single
1242,Confidential
1243,Confidential
1244,Married
1245,Single
1246,Married
1247,Divorced
1248,Single
1249,Divorced
1250,Single
1251,Married
1252,Confidential
1253,Married
1254,Divorced
1255,Divorced
1256,Confidential
1257,Confidential
1258,Single
1259,Married
1260,Divorced
1261,Confidential
1262,Married
1263,Divorced
1264,Confidential
1265,Confidential
1266,Single
1267,Single
1268,Single
1269,Single
1270,Married
1271,Single
1272,Married
1273,Single
1274,Single
1275,Divorced
1276,Single
1277,Single
1278,Divorced
1279,Divorced
1280,Married
1281,Confidential
1282,Married
1283,Married
1284,Single
1285,Married
1286,Confidential
1287,Single
1288,Divorced
1289,Divorced
1290,Confidential
1291,Divorced
1292,Divorced
1293,Divorced
1294,Divorced
1295,Divorced
1296,Confidential
1297,Married
1298,Married
1299,Single
1300,Single
1301,Confidential
1302,Married
1303,Divorced
1304,Confidential
1305,Married
1306,Confidential
1307,Single
1308,Married
1309,Confidential
1310,Married
1311,Married
1312,Divorced
1313,Single
1314,Divorced
1315,Divorced
1316,Confidential
1317,Married
1318,Single
1319,Confidential
1320,Confidential
1321,Married
1322,Confidential
1323,Married
1324,Single
1325,Confidential
1326,Divorced
1327,Single
1328,Single
1329,Married
1330,Married
1331,Single
1332,Divorced
1333,Married
1334,Married
1335,Single
1336,Confidential
1337,Confidential
1338,Confidential
1339,Single
1340,Married
1341,Divorced
1342,Married
1343,Confidential
1344,Married
1345,Divorced
1346,Divorced
1347,Single
1348,Confidential
1349,Divorced
1350,Divorced
1351,Confidential
1352,Confidential
1353,Married
1354,Confidential
1355,Divorced
1356,Married
1357,Divorced
1358,Single
1359,Divorced
1360,Confidential
1361,Married
1362,Divorced
1363,Married
1364,Confidential
1365,Single
1366,Confidential
1367,Single
1368,Confidential
1369,Confidential
1370,Divorced
1371,Married
1372,Confidential
1373,Single
1374,Married
1375,Divorced
1376,Single
1377,Divorced
1378,Single
1379,Divorced
1380,Single
1381,Divorced
1382,Single
1383,Single
1384,Single
1385,Divorced
1386,Single
1387,Divorced
1388,Confidential
1389,Married
1390,Married
1391,Single
1392,Single
1393,Single
1394,Divorced
1395,Divorced
1396,Confidential
1397,Divorced
1398,Single
1399,Confidential
1400,Confidential
1401,Divorced
1402,Confidential
1403,Married
1404,Divorced
1405,Married
1406,Divorced
1407,Single
1408,Confidential
1409,Confidential
1410,Single
1411,Confidential
1412,Confidential
1413,Married
1414,Married
1415,Single
1416,Confidential
1417,Single
1418,Married
1419,Married
1420,Confidential
1421,Married
1422,Married
1423,Single
1424,Divorced
1425,Married
1426,Confidential
1427,Married
1428,Single
1429,Single
1430,Divorced
1431,Married
1432,Married
1433,Single
1434,Single
1435,Married
1436,Single
1437,Confidential
1438,Single
1439,Confidential
1440,Divorced
1441,Confidential
1442,Married
1443,Single
1444,Single
1445,Confidential
1446,Confidential
1447,Divorced
1448,Confidential
1449,Divorced
1450,Confidential
1451,Single
1452,Single
1453,Confidential
1454,Married
1455,Single
1456,Confidential
1457,Single
1458,Single
1459,Married
1460,Married
1461,Married
1462,Divorced
1463,Single
1464,Confidential
1465,Married
1466,Confidential
1467,Divorced
1468,Confidential
1469,Married
1470,Confidential
1471,Confidential
1472,Single
1473,Divorced
1474,Confidential
1475,Divorced
1476,Divorced
1477,Single
1478,Single
1479,Married
1480,Single
1481,Single
1482,Divorced
1483,Confidential
1484,Married
1485,Single
1486,Confidential
1487,Confidential
1488,Confidential
1489,Married
1490,Divorced
1491,Single
1492,Divorced
1493,Single
1494,Confidential
1495,Divorced
1496,Single
1497,Divorced
1498,Married
1499,Divorced
1500,Single
1501,Divorced
1502,Married
1503,Divorced
1504,Divorced
1505,Married
1506,Single
1507,Married
1508,Confidential
1509,Divorced
1510,Confidential
1511,Divorced
1512,Divorced
1513,Single
1514,Divorced
1515,Single
1516,Divorced
1517,Married
1518,Confidential
1519,Single
1520,Married
1521,Divorced
1522,Married
1523,Married
1524,Married
1525,Confidential
1526,Divorced
1527,Married
1528,Single
1529,Single
1530,Divorced
1531,Single
1532,Married
1533,Divorced
1534,Confidential
1535,Married
1536,Confidential
1537,Divorced
1538,Single
1539,Single
1540,Single
1541,Confidential
1542,Single
1543,Confidential
1544,Divorced
1545,Married
1546,Divorced
1547,Single
1548,Confidential
1549,Divorced
1550,Single
1551,Confidential
1552,Divorced
1553,Divorced
1554,Confidential
1555,Divorced
1556,Married
1557,Divorced
1558,Single
1559,Confidential
1560,Single
1561,Confidential
1562,Divorced
1563,Confidential
1564,Single
1565,Divorced
1566,Confidential
1567,Divorced
1568,Single
1569,Single
1570,Married
1571,Divorced
1572,Divorced
1573,Married
1574,Divorced
1575,Married
1576,Single
1577,Divorced
1578,Single
1579,Divorced
1580,Confidential
1581,Married
1582,Confidential
1583,Single
1584,Divorced
1585,Confidential
1586,Confidential
1587,Married
1588,Divorced
1589,Confidential
1590,Single
1591,Confidential
1592,Divorced
1593,Divorced
1594,Married
1595,Confidential
1596,Confidential
1597,Married
1598,Married
1599,Married
1600,Married
1601,Single
1602,Confidential
1603,Divorced
1604,Divorced
1605,Single
1606,Single
1607,Confidential
1608,Single
1609,Confidential
1610,Divorced
1611,Divorced
1612,Divorced
1613,Confidential
1614,Single
1615,Confidential
1616,Married
1617,Divorced
1618,Confidential
1619,Divorced
1620,Confidential
1621,Married
1622,Married
1623,Married
1624,Married
1625,Married
1626,Single
1627,Confidential
1628,Married
1629,Single
1630,Divorced
1631,Confidential
1632,Married
1633,Single
1634,Confidential
1635,Married
1636,Single
1637,Divorced
1638,Divorced
1639,Single
1640,Divorced
1641,Divorced
1642,Divorced
1643,Single
1644,Married
1645,Married
1646,Single
1647,Married
1648,Married
1649,Confidential
1650,Married
1651,Single
1652,Divorced
1653,Single
1654,Confidential
1655,Confidential
1656,Married
1657,Married
1658,Married
1659,Divorced
1660,Confidential
1661,Married
1662,Single
1663,Married
1664,Married
1665,Divorced
1666,Confidential
1667,Confidential
1668,Single
1669,Married
1670,Divorced
1671,Divorced
1672,Single
1673,Confidential
1674,Single
1675,Confidential
1676,Divorced
1677,Married
1678,Single
1679,Single
1680,Divorced
1681,Divorced
1682,Married
1683,Confidential
1684,Divorced
1685,Divorced
1686,Confidential
1687,Confidential
1688,Single
1689,Single
1690,Married
1691,Confidential
1692,Married
1693,Married
1694,Confidential
1695,Married
1696,Confidential
1697,Confidential
1698,Single
1699,Single
1700,Divorced
1701,Confidential
1702,Divorced
1703,Married
1704,Divorced
1705,Confidential
1706,Divorced
1707,Married
1708,Divorced
