Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,Gender,Area,Personal Loan,Loan Size
52,28,168,3,6.5,Professional,118,0,0,1,Male,Los Angeles,1,26
52,28,178,3,5.4,Professional,147,0,0,1,Male,Orange,1,31
52,28,179,4,4.2,Professional,0,0,0,0,Male,Contra Costa,1,50
52,25,180,2,9,Postgrad,297,0,0,1,Female,Alameda,1,31
52,26,182,2,1.9,Postgrad,0,0,0,1,Male,Sacramento,1,42
52,26,194,2,5.7,Postgrad,0,0,0,1,Male,San Diego,1,45
53,27,115,2,0.5,Professional,0,0,0,0,Male,Los Angeles,1,25
53,29,120,4,2.7,Postgrad,111,1,1,1,Male,Orange,1,21
53,27,139,1,0.9,Professional,0,0,0,0,Male,Marin,1,33
53,29,141,2,0.2,Professional,0,0,0,0,Male,Los Angeles,1,32
53,27,145,2,6.1,Professional,294,0,1,1,Female,Los Angeles,1,23
53,29,154,4,7.4,Professional,0,0,0,0,Female,San Luis Obispo,1,42
53,28,173,4,2.7,Undergrad,427,0,0,1,Male,Los Angeles,1,21
53,27,174,1,2.9,Postgrad,0,0,0,1,Female,Los Angeles,1,40
53,28,175,3,3.6,Professional,0,0,1,1,Male,Santa Cruz,1,39
53,28,183,3,8.2,Professional,467,0,1,1,Male,Shasta,1,32
53,28,192,2,6.4,Professional,0,0,0,0,Male,Santa Clara,1,49
54,29,82,3,3.7,Postgrad,0,0,0,1,Male,Alameda,1,23
54,30,100,4,3.4,Professional,0,0,0,0,Male,Sacramento,1,34
54,28,108,4,1.9,Postgrad,0,0,0,1,Female,San Francisco,1,27
54,29,111,1,1.1,Postgrad,0,0,0,1,Female,Ventura,1,21
54,29,119,3,2,Undergrad,0,1,1,0,Male,Los Angeles,1,31
54,27,120,4,3,Postgrad,431,0,0,1,Male,Orange,1,25
54,30,121,2,1.1,Professional,0,1,0,0,Female,Monterey,1,27
54,29,129,4,4.2,Professional,0,0,0,0,Male,Monterey,1,31
54,30,133,2,2.6,Professional,0,0,0,0,Male,Kern,1,31
54,30,133,1,5,Postgrad,0,0,0,0,Male,Placer,1,36
54,29,154,1,2.4,Postgrad,352,0,0,1,Male,Santa Clara,1,18
54,28,165,1,4.1,Professional,0,0,1,1,Female,San Diego,1,38
54,28,170,2,6.2,Postgrad,325,0,0,1,Female,San Diego,1,31
54,30,194,3,6,Professional,587,1,1,1,Male,San Diego,1,30
54,27,195,2,4.8,Postgrad,477,0,0,0,Female,Santa Barbara,1,34
55,29,111,2,3.6,Professional,0,0,0,0,Female,Los Angeles,1,27
55,30,118,4,5.6,Postgrad,0,0,0,1,Female,Los Angeles,1,32
55,31,130,4,6.5,Undergrad,0,0,0,0,Female,Orange,1,39
55,29,131,2,0.7,Postgrad,0,0,0,0,Female,Santa Clara,1,25
55,29,132,3,5.9,Postgrad,307,0,0,0,Male,Sacramento,1,22
55,30,145,2,6,Professional,56,0,0,1,Male,San Diego,1,43
55,30,153,2,2.8,Postgrad,0,1,1,1,Male,Santa Clara,1,42
55,31,159,1,3.9,Professional,0,0,0,0,Female,San Diego,1,39
55,29,172,1,5.2,Postgrad,0,0,0,0,Male,Santa Cruz,1,47
56,32,98,3,3.9,Professional,0,0,0,0,Male,Los Angeles,1,28
56,32,103,3,4,Professional,0,0,0,0,Female,San Francisco,1,25
56,30,111,4,0.3,Undergrad,372,1,1,1,Male,Santa Barbara,1,11
56,32,125,3,0.6,Undergrad,342,0,1,1,Female,Los Angeles,1,14
56,31,131,2,1.2,Professional,0,0,0,0,Female,Yolo,1,34
56,30,140,4,0.5,Undergrad,292,0,0,0,Female,San Francisco,1,16
56,30,145,4,5.7,Postgrad,0,0,1,1,Male,Sacramento,1,45
56,30,158,4,6.1,Undergrad,0,0,0,0,Male,Los Angeles,1,41
56,32,158,3,3.7,Professional,0,0,0,1,Female,Alameda,1,37
