name,region
Pakistan,South Asia
Palau,East Asia & Pacific
Panama,Latin America & Caribbean
Papua New Guinea,East Asia & Pacific
Paraguay,Latin America & Caribbean
Peru,Latin America & Caribbean
Philippines,South Asia
Poland,Europe & Central Asia
Portugal,Europe & Central Asia
Puerto Rico,Latin America & Caribbean
Qatar,Europe & Central Asia
Republic of Korea,East Asia & Pacific
Republic of Moldova,Europe & Central Asia
Réunion,Sub-Saharan Africa
Romania,Europe & Central Asia
Russian Federation,Europe & Central Asia
Rwanda,Sub-Saharan Africa
Saint Barthelemy,Latin America & Caribbean
Saint Helena,Sub-Saharan Africa
Saint Kitts and Nevis,Latin America & Caribbean
Saint Lucia,Latin America & Caribbean
Saint Martin (French part),Latin America & Caribbean
Saint Pierre and Miquelon,North America
Saint Vincent and the Grenadines,Latin America & Caribbean
Samoa,East Asia & Pacific
San Marino,Europe & Central Asia
Sao Tome and Principe,Sub-Saharan Africa
Saudi Arabia,Europe & Central Asia
Senegal,Sub-Saharan Africa
Serbia,Europe & Central Asia
Seychelles,East Asia & Pacific
Sierra Leone,Sub-Saharan Africa
Singapore,East Asia & Pacific
Sint Maarten (Dutch part),Latin America & Caribbean
Slovakia,Europe & Central Asia
Slovenia,Europe & Central Asia
Solomon Islands,East Asia & Pacific
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Spain,Europe & Central Asia
Sri Lanka,South Asia
Sudan,Middle East & North Africa
Suriname,Latin America & Caribbean
Sweden,Europe & Central Asia
Switzerland,Europe & Central Asia
Syrian Arab Republic,Middle East & North Africa
Tajikistan,Europe & Central Asia
Thailand,East Asia & Pacific
Timor-Leste,East Asia & Pacific
Togo,Sub-Saharan Africa
Tokelau,East Asia & Pacific
Tonga,East Asia & Pacific
Trinidad and Tobago,Latin America & Caribbean
Tunisia,Sub-Saharan Africa
Turkey,Europe & Central Asia
Turkmenistan,Europe & Central Asia
Turks and Caicos Islands,Latin America & Caribbean
Tuvalu,East Asia & Pacific
Uganda,Sub-Saharan Africa
Ukraine,Europe & Central Asia
United Arab Emirates,Europe & Central Asia
United Kingdom,Europe & Central Asia
United Republic of Tanzania,Sub-Saharan Africa
United States,North America
United States of America,North America
United States Virgin Islands,Latin America & Caribbean
Uruguay,Latin America & Caribbean
Uzbekistan,Europe & Central Asia
Vanuatu,East Asia & Pacific
Venezuela (Bolivarian Republic of),Latin America & Caribbean
Viet Nam,East Asia & Pacific
Wallis and Futuna Islands,East Asia & Pacific
West Bank and Gaza Strip,Europe & Central Asia
Yemen,Europe & Central Asia
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
